Position,Year,Make,Model,Time (min:sec),time (s),horsepower (hp),torque (lb-ft),kerb weight (lb),wheel base (in),width (in),height (in),RWD,AWD,FWD,0-60 (s),top speed (mph),manual,automatic,Comments,Sources
79,2008,Porsche,911 Carrera S,07:50.0,470,355,295,3131,92.52,71.18,51.18,1,0,0,4.6,182,1,0,,https://www.excellence-mag.com/resources/specs/116
80,2015,Honda,Civic Type R,07:50.6,470.6,310,295,3748,102.1,73.9,57.7,1,0,0,5.7,168,1,0,,https://www.autoevolution.com/cars/honda-civic-type-r-2015.html#aeng_honda-civic-type-r-2015-20-vtec-6mt-310-hp
81,2009,Mercedes,SL65 AMG Black Series,07:51.0,471,661,738,4740,100.8,72.3,50.6,1,0,0,3.6,200,0,1,,https://www.autoblog.com/buy/2009-Mercedes_Benz-SL_Class-Base__SL_65_AMG_Black_Series_2dr_Coupe/specs/
82,2011,Jaguar,XKR-S,07:51.0,471,542,461,3864,108.3,74.5,51.7,1,0,0,4.2,186,0,1,,https://www.carmagazine.co.uk/car-reviews/jaguar/jaguar-xkr-s-2011-review/
83,2015,BMW,M4,07:52.0,472,425,406,3530,110.7,73.6,54.4,1,0,0,4.1,155,1,0,,https://www.caranddriver.com/reviews/a15108515/2015-bmw-m4-manual-tested-review/
84,2003,Lamborghini,Gallardo,07:52.0,472,500,376,3152,100.79,74.8,45.87,0,1,0,4,192,1,0,,https://www.auto-data.net/en/lamborghini-gallardo-coupe-5.0-v10-500hp-awd-e-gear-34324
85,2004,Ford,GT,07:52.0,472,549,500,3483,106.7,76.9,44.3,1,0,0,3.9,205,1,0,,https://www.autoevolution.com/cars/ford-gt-2004.html#aeng_ford-gt-2004-54
86,2011,Porsche,Panamera Turbos S,07:52.0,472,500,516,4343,114.9,76,55.8,0,1,0,4.2,188,0,1,,https://www.motortrend.com/reviews/2011-porsche-panamera-turbo-test/
87,2008,Lamborghini,Gallardo LP560-4,07:52.0,472,560,398,3263,100.8,74.8,45.9,0,1,0,3.7,202,0,1,,https://www.motortrend.com/features/2008-lamborghini-gallardo-lp560-4-first-look/
88,2004,Mercedes,CLK DTM,07:54.0,474,582,590,3750,106.9,71.3,52.6,1,0,0,3.8,199,0,1,,https://www.autoevolution.com/cars/mercedes-benz-clk-dtm-amg-c209-2004.html#aeng_mercedes-benz-clk-dtm-amg-2004-54-v8-kompressor
89,2003,Porsche,911 GT3,07:54.0,474,380,284,3075,92.3,70.9,50.2,1,0,0,4.3,189,1,0,,https://www.autoevolution.com/cars/porsche-911-gt3-996-2003.html#aeng_porsche-911-gt3-996-2001-36
90,2015,Renault,Megane RS 275 Trophy-R,07:54.4,474.4,269,265,2822,104.3,71.4,56.5,0,0,1,5.6,158,1,0,,https://fastestlaps.com/models/renault-megane-rs-275-trophy-r
91,2005,Ferrari,F430,07:55.0,475,490,342,3197,102.4,75.7,47.8,1,0,0,3.6,196,1,0,,https://www.edmunds.com/ferrari/f430/2005/features-specs/
92,2010,Subaru,WRX STI,07:55.0,475,305,290,3395,103.3,70.7,58.1,0,1,0,4.6,158,1,0,,https://www.caranddriver.com/subaru/wrx-sti/specs/2010/subaru_wrx-sti_subaru-impreza-wrx-sti_2010
93,1999,Caterham,R500 1.8L K Series,07:55.0,475,229,155,1014,88.6,62,31.5,1,0,0,3.4,155,1,0,,https://www.automobile-catalog.com/car/1999/337475/caterham_super_seven_superlight_r500.html#gsc.tab=0
94,2011,BMW,M5,07:55.0,475,560,500,4387,116.7,74.4,57.3,1,0,0,4.4,190,0,1,,https://www.evo.co.uk/bmw/m5/20305/bmw-m5-f10-2011-2016-review-specs-and-buying-guide
95,2000,Porsche,911 Turbo,07:56.0,476,420,413,3197,92.6,72,51.2,0,1,0,4,189,1,0,,https://www.autoevolution.com/cars/porsche-911-turbo-996-2000.html#aeng_porsche-911-turbo-996-2000-36-5at-420-hp
96,2003,Ferrari,360 CS,07:56.0,476,400,275,3197,102.3,75.7,47.8,1,0,0,4.2,183,0,1,,https://www.autoblog.com/buy/2003-Ferrari-360+Modena-Spider_F1__2dr_Convertible/equipment/
97,2009,Ferrari,California GT,07:56.0,476,453,358,3809,105.1,74.9,51.5,1,0,0,3.8,193,0,1,,https://www.caranddriver.com/reviews/a15151210/2009-ferrari-california-first-drive-review/
98,2009,Porsche,Panamera Sport Chrono Turbo,07:56.0,476,493,516,4350,114.9,76.02,55.8,0,1,0,4,188,0,1,,https://www.ultimatespecs.com/car-specs/Porsche/35504/Porsche-Panamera-Turbo-Sports-Chrono-Package.html
99,2009,Porsche,Panamera Turbo,07:56.0,476,493,516,4343,114.9,76.02,55.8,0,1,0,4.2,188,0,1,,https://www.ultimatespecs.com/car-specs/Porsche/12991/Porsche-Panamera-Turbo.html
100,2002,Chevrolet,Corvette Z06,07:56.0,476,405,400,3100,104.5,73.6,47.7,1,0,0,3.9,168,1,0,,https://www.caranddriver.com/reviews/a15137861/2002-chevrolet-corvette-z06-road-test-review/
